segments,breaks,sse,parameters,bic
1,0,0.09791287027622544,2,-683.6744056858907
2,1,0.08915928478003748,5,-679.2242468943546
3,2,0.07023524383719808,8,-689.2661616080895
4,3,0.06120611010100721,11,-689.2109721725013
5,4,0.058476696279124295,14,-679.9573318261201
6,5,0.0555868014181458,17,-671.2100744841615
7,6,0.053528951604700094,20,-661.1668768750592
8,7,0.052844702010301864,23,-648.6378860685925
