year,x_c_long,x_h_long,divergence,delta_x_c,delta_x_h
1975,0.0,0.0,0.0,,
1976,0.021798682843215775,0.005492621484118362,0.01630606135909741,0.021798682843215775,0.005492621484118362
1977,0.04286426910711295,-0.023556467233135737,0.06642073634024868,0.021065586263897172,-0.0290490887172541
1978,0.07675334801703616,-0.05287713099363814,0.12963047901067432,0.033889078909923216,-0.0293206637605024
1979,0.08494157782941084,-0.08802964079916414,0.17297121862857498,0.008188229812374673,-0.035152509805526005
1980,0.08116502994178201,-0.06561408197512514,0.14677911191690715,-0.0037765478876288228,0.022415558824039006
1981,0.09408388607115237,-0.009986864833883571,0.10407075090503594,0.012918856129370354,0.05562721714124157
1982,0.10611695782629628,0.045707735696118704,0.060409222130177576,0.012033071755143912,0.055694600530002275
1983,0.1321330940536524,0.04337044859345886,0.08876264546019354,0.026016136227356115,-0.0023372871026598463
1984,0.18814775797671632,0.09268626491107992,0.0954614930656364,0.05601466392306392,0.04931581631762107
1985,0.20959537522987418,0.09862816251856449,0.11096721271130969,0.021447617253157858,0.005941897607484564
1986,0.23789476483130043,0.08234654977785476,0.15554821505344568,0.02829938960142625,-0.01628161274070973
1987,0.24706249825629173,0.05923922726212735,0.18782327099416438,0.009167733424991303,-0.023107322515727405
1988,0.287299404553005,0.08560683039409904,0.20169257415890596,0.04023690629671328,0.026367603131971687
1989,0.30649435903788347,0.09606089214376849,0.21043346689411496,0.019194954484878457,0.010454061749669452
1990,0.31571975704511285,0.1174542921977859,0.19826546484732693,0.00922539800722938,0.02139340005401741
1991,0.3108907342438264,0.12660865407093444,0.18428208017289197,-0.004829022801286442,0.00915436187314854
1992,0.33658654638926877,0.15116378919703755,0.18542275719223122,0.025695812145442365,0.024555135126103106
1993,0.3396662678769484,0.15580469516207263,0.1838615727148758,0.003079721487679654,0.00464090596503508
1994,0.3544400915117926,0.16625853513883146,0.18818155637296116,0.014773823634844196,0.010453839976758833
1995,0.37505336595190586,0.17769123731944075,0.1973621286324651,0.02061327444011324,0.011432702180609294
1996,0.39402145599101146,0.18392914601001528,0.21009230998099618,0.0189680900391056,0.0062379086905745285
1997,0.4171110378943213,0.19134855077873525,0.22576248711558605,0.02308958190330984,0.007419404768719967
1998,0.4627441581247613,0.19495958500106533,0.26778457312369597,0.04563312023043997,0.003611034222330084
1999,0.4831705503625247,0.1819106826109513,0.30125986775157343,0.020426392237763435,-0.013048902390114026
2000,0.5200123182642948,0.18173609530609094,0.3382762229582039,0.03684176790177013,-0.000174587304860363
2001,0.5390099127572201,0.14844058220191608,0.390569330555304,0.018997594492925263,-0.03329551310417486
2002,0.5598034071182137,0.1209290334468571,0.4388743736713566,0.020793494360993647,-0.027511548755058984
2003,0.5756675718301436,0.09710500554525339,0.47856256628489025,0.015864164711929862,-0.023824027901603706
2004,0.5981801955889539,0.05453158704697749,0.5436486085419764,0.022512623758810246,-0.0425734184982759
2005,0.6005658942186183,-0.022210506464149564,0.6227764006827679,0.0023856986296644234,-0.07674209351112705
2006,0.6267632816091969,-0.03743304709198318,0.6641963287011801,0.02619738739057864,-0.015222540627833618
2007,0.6403665914684203,-0.009534949374161225,0.6499015408425816,0.013603309859223423,0.02789809771782196
2008,0.6466624688607464,0.07874570207648428,0.5679167667842622,0.006295877392326066,0.08828065145064551
2009,0.6401846745211601,0.1265879976788559,0.5135966768423043,-0.006477794339586285,0.04784229560237162
2010,0.6505019125313781,0.1963448172253676,0.45415709530601056,0.010317238010218,0.0697568195465117
2011,0.6639578174296945,0.2742640036718106,0.3896938137578839,0.013455904898316384,0.077919186446443
2012,0.6832734394086353,0.3147641646074236,0.36850927480121165,0.019315621978940767,0.04050016093561304
2013,0.6612950128000384,0.26924393649079476,0.3920510763092437,-0.021978426608596835,-0.04552022811662887
2014,0.6873598137752772,0.26081033927284003,0.4265494745024372,0.026064800975238778,-0.008433597217954725
2015,0.718005395487435,0.24329854742288337,0.47470684806455166,0.03064558171215781,-0.01751179184995666
2016,0.7290539509675893,0.21359554813949622,0.5154584028280931,0.011048555480154265,-0.029702999283387155
2017,0.7528430940570623,0.20220768600649103,0.5506354080505713,0.023789143089472997,-0.011387862133005189
2018,0.7825682513206619,0.1984735154703816,0.5840947358502803,0.02972515726359959,-0.0037341705361094157
2019,0.8080921382803142,0.1928974223498261,0.6151947159304881,0.025523886959652353,-0.005576093120555514
2020,0.8656645058708969,0.2111504234397372,0.6545140824311597,0.05757236759058271,0.018253001089911097
2021,0.9017740892142141,0.15888360506829172,0.7428904841459224,0.03610958334331715,-0.05226681837144548
2022,0.8386168078694,0.007004386603091522,0.8316124212663084,-0.06315728134481413,-0.1518792184652002
2023,0.8859884348959047,0.04133389705425894,0.8446545378416458,0.04737162702650477,0.034329510451167417
2024,0.9060528698943312,0.03395243407818056,0.8721004358161506,0.020064434998426472,-0.007381462976078376
2025,0.9170379516618129,0.033260744183527556,0.8837772074782854,0.010985081767481697,-0.0006916898946530067
