date,x_c_cpi,x_h_core,divergence,delta_x_c,delta_x_h
1991-01-01,0.0,0.0,0.0,,
1991-04-01,0.0037998341317383227,0.009718470398191768,-0.005918636266453445,0.0037998341317383227,0.009718470398191768
1991-07-01,0.003251273695644859,0.014964950912339622,-0.011713677216694763,-0.0005485604360934639,0.005246480514147854
1991-10-01,0.00660252646503227,0.017931829202251854,-0.011329302737219583,0.003351252769387411,0.0029668782899122323
1992-01-01,0.02224537265374549,0.02832726743845353,-0.006081894784708039,0.01564284618871322,0.010395438236201676
1992-04-01,0.027204707510214546,0.0425151862909663,-0.015310478780751757,0.004959334856469055,0.014187918852512773
1992-07-01,0.026597439242075083,0.04122261768762181,-0.014625178445546727,-0.0006072682681394631,-0.0012925686033444933
1992-10-01,0.025775842054781433,0.04128600028482669,-0.01551015823004526,-0.0008215971872936496,6.338259720488348e-05
1993-01-01,0.025316212901948132,0.04768992779470375,-0.022373714892755615,-0.00045962915283330116,0.006403927509877054
1993-04-01,0.02491506712813989,0.04451711079516309,-0.019602043667023197,-0.00040114577380824176,-0.0031728169995406605
1993-07-01,0.022069046976638532,0.03878050842984962,-0.016711461453211087,-0.002846020151501358,-0.005736602365313467
1993-10-01,0.023285888084581804,0.03873702631594099,-0.015451138231359185,0.0012168411079432721,-4.3482113908629993e-05
1994-01-01,0.025665201248318018,0.03725953667904606,-0.01159433543072804,0.002379313163736213,-0.0014774896368949311
1994-04-01,0.032552044106759125,0.041850039652159866,-0.009297995545400742,0.006886842858441107,0.004590502973113808
1994-07-01,0.03313007054454958,0.04558211414883658,-0.012452043604287005,0.000578026437790452,0.0037320744966767155
1994-10-01,0.04315218828832379,0.05647134372990197,-0.013319155441578183,0.010022117743774213,0.01088922958106539
1995-01-01,0.04645834602630075,0.061094855082057614,-0.014636509055756863,0.0033061577379769613,0.004623511352155642
1995-04-01,0.04404670943301066,0.060770099543845525,-0.016723390110834867,-0.0024116365932900924,-0.00032475553821208897
1995-07-01,0.04889628323965861,0.061678081410226675,-0.012781798170568064,0.004849573806647953,0.0009079818663811495
1995-10-01,0.05043537579947521,0.0626888908869332,-0.012253515087457992,0.0015390925598166016,0.0010108094767065298
1996-01-01,0.05393311167534481,0.06637798467523298,-0.012444872999888175,0.003497735875869594,0.003689093788299777
1996-04-01,0.058174730476333474,0.07277804980389473,-0.014603319327561252,0.004241618800988667,0.006400065128661744
1996-07-01,0.0612196829929086,0.07528536008621671,-0.01406567709330811,0.0030449525165751265,0.002507310282321984
1996-10-01,0.06118413979371419,0.07809592104327195,-0.016911781249557764,-3.554319919440996e-05,0.0028105609570552442
1997-01-01,0.06600156317125846,0.08278679541281242,-0.016785232241553955,0.004817423377544275,0.004690874369540465
1997-04-01,0.07193295632881469,0.08271935846719569,-0.010786402138381002,0.005931393157556225,-6.743694561672786e-05
1997-07-01,0.07803017674657933,0.08659306051657989,-0.008562883770000557,0.006097220417764643,0.003873702049384198
1997-10-01,0.08733328748598927,0.09059321383334984,-0.003259926347360567,0.00930311073940994,0.00400015331676995
1998-01-01,0.10381621619880921,0.09675155897712776,0.007064657221681453,0.016482928712819936,0.006158345143777916
1998-04-01,0.11350641529202443,0.09602800163109,0.01747841366093443,0.009690199093215224,-0.0007235573460377537
1998-07-01,0.11823553977118122,0.09291868006320275,0.025316859707978465,0.004729124479156785,-0.0031093215678872493
1998-10-01,0.1206443465851992,0.08373463846627426,0.03690970811892494,0.0024088068140179775,-0.009184041596928497
1999-01-01,0.12704453631091925,0.07932829464218544,0.04771624166873381,0.006400189725720054,-0.004406343824088818
1999-04-01,0.12319998849816699,0.06830886596921062,0.054891122528956365,-0.003844547812752258,-0.011019428672974813
1999-07-01,0.12514116178656123,0.06232225155637544,0.06281891023018579,0.0019411732883942434,-0.005986614412835184
1999-10-01,0.13370836299127026,0.06351163301702945,0.07019672997424081,0.008567201204709024,0.0011893814606540043
2000-01-01,0.14674419129444305,0.06887103115528989,0.07787316013915316,0.013035828303172792,0.005359398138260446
2000-04-01,0.15298107432701638,0.0661991584920975,0.08678191583491889,0.0062368830325733315,-0.0026718726631923956
2000-07-01,0.16069363070425127,0.06748913450449255,0.09320449619975872,0.0077125563772348915,0.0012899760123950554
2000-10-01,0.1632790592628479,0.0598710530649136,0.10340800619793428,0.002585428558596614,-0.007618081439578948
2001-01-01,0.1668050608804005,0.05467089811991616,0.11213416276048435,0.003526001617552621,-0.00520015494499744
2001-04-01,0.16137214234664182,0.04025843239233096,0.12111370995431087,-0.005432918533758685,-0.0144124657275852
2001-07-01,0.17904815678223626,0.0456348467531332,0.13341331002910306,0.01767601443559444,0.005376414360802238
2001-10-01,0.16092987419064783,0.011087859723158665,0.14984201446748915,-0.01811828259158843,-0.03454698702997454
2002-01-01,0.18123776952915674,0.018375347927094696,0.16286242160206205,0.020307895338508908,0.007287488203936031
2002-04-01,0.18655282835814668,0.013296693792100984,0.1732561345660457,0.005315058828989944,-0.0050786541349937125
2002-07-01,0.1850170022015471,-0.0018201307018857016,0.1868371329034328,-0.0015358261565995845,-0.015116824493986686
2002-10-01,0.18745432999722092,-0.01336524994832807,0.200819579945549,0.0024373277956738215,-0.011545119246442368
2003-01-01,0.18300630410500596,-0.024923657647810713,0.20792996175281667,-0.004448025892214963,-0.011558407699482643
2003-04-01,0.19472934889874483,-0.03071042787265829,0.22543977677140312,0.011723044793738868,-0.005786770224847578
2003-07-01,0.2082477556436314,-0.029362246041088527,0.23761000168471993,0.01351840674488658,0.0013481818315697648
2003-10-01,0.2096980643776862,-0.046289230500753946,0.25598729487844013,0.0014503087340548004,-0.01692698445966542
2004-01-01,0.2114999386051273,-0.058021122207597864,0.2695210608127252,0.0018018742274411026,-0.011731891706843918
2004-04-01,0.21841343250532155,-0.06816477138597975,0.2865782038913013,0.006913493900194245,-0.010143649178381883
2004-07-01,0.2208940953088976,-0.0848115292166787,0.30570562452557626,0.0024806628035760336,-0.016646757830698952
2004-10-01,0.22781845393745898,-0.0914953612731751,0.31931381521063407,0.006924358628561389,-0.0066838320564964054
2005-01-01,0.2128050333548093,-0.1259826382586764,0.33878767161348566,-0.015013420582649678,-0.03448727698550129
2005-04-01,0.21930612874448846,-0.13886263864324433,0.3581687673877328,0.006501095389679162,-0.012880000384567936
2005-07-01,0.21617054894269827,-0.15293847105272512,0.3691090199954234,-0.0031355798017901892,-0.014075832409480793
2005-10-01,0.2212295442630761,-0.15969927841569395,0.38092882267877004,0.005058995320377818,-0.006760807362968829
2006-01-01,0.23741214797110713,-0.15278769388618887,0.390199841857296,0.01618260370803104,0.006911584529505077
2006-04-01,0.2386316462202541,-0.14942145936740436,0.3880531055876585,0.0012194982491469664,0.003366234518784511
2006-07-01,0.23527204084231865,-0.14488298872028305,0.3801550295626017,-0.0033596053779354484,0.004538470647121318
2006-10-01,0.2472852564047112,-0.14168582205713096,0.38897107846184215,0.012013215562392543,0.00319716666315209
2007-01-01,0.25203829840021047,-0.13311771941692413,0.3851560178171346,0.00475304199549928,0.008568102640206826
2007-04-01,0.2519272682083791,-0.11918072210589468,0.3711079903142738,-0.00011103019183139606,0.013936997311029445
2007-07-01,0.2503541127693156,-0.10144444937471317,0.3517985621440287,-0.0015731554390635005,0.017736272731181515
2007-10-01,0.2469699141994375,-0.0742328368432143,0.32120275104265184,-0.0033841985698780663,0.02721161253149887
2008-01-01,0.24636999475729843,-0.04080498464928187,0.2871749794065803,-0.0005999194421390797,0.033427852193932434
2008-04-01,0.261353823526813,0.015693537667923904,0.2456602858588891,0.014983828769514596,0.05649852231720577
2008-07-01,0.2347709344631177,0.029821148044093082,0.20494978641902462,-0.026582889063695325,0.014127610376169178
2008-10-01,0.2508228838179965,0.052646008826699855,0.19817687499129666,0.016051949354878803,0.022824860782606773
2009-01-01,0.24815751199464678,0.04935233793736305,0.19880517405728373,-0.0026653718233497214,-0.003293670889336804
2009-04-01,0.2514411564053479,0.07197772397779707,0.17946343242755086,0.003283644410701142,0.02262538604043402
2009-07-01,0.235276060517811,0.06892666287764208,0.16634939764016893,-0.016165095887536923,-0.003051061100154989
2009-10-01,0.23428992299222054,0.0763224436352338,0.15796747935698674,-0.000986137525590458,0.007395780757591716
2010-01-01,0.24055896517071873,0.09322992103751712,0.1473290441332016,0.006269042178498191,0.016907477402283322
2010-04-01,0.25703754096923276,0.11466676870283586,0.14237077226639688,0.016478575798514028,0.02143684766531874
2010-07-01,0.25932845424307865,0.13631734637671952,0.12301110786635913,0.002290913273845896,0.02165057767388366
2010-10-01,0.2592700512943632,0.15432530897539382,0.10494474231896939,-5.8402948715452485e-05,0.018007962598674293
2011-01-01,0.2652218308689683,0.1935714555313322,0.07165037533763607,0.005951779574605076,0.03924614655593839
2011-04-01,0.25990658937306493,0.20812986712904316,0.05177672224402177,-0.0053152414959033445,0.014558411597710957
2011-07-01,0.2612257056972099,0.2128192933636421,0.048406412333567767,0.0013191163241449422,0.004689426234598948
2011-10-01,0.2602021350299572,0.2147421363784733,0.045459998651483896,-0.0010235706672526712,0.0019228430148311992
2012-01-01,0.2746362991317177,0.2304344215672926,0.04420187756442512,0.014434164101760516,0.015692285188819294
2012-04-01,0.27987710419522804,0.22215125839416963,0.05772584580105841,0.005240805063510323,-0.00828316317312297
2012-07-01,0.26822785245221376,0.20301447282758456,0.0652133796246292,-0.011649251743014288,-0.019136785566585074
2012-10-01,0.2925628765377614,0.21903752563240128,0.07352535090536014,0.024335024085547663,0.016023052804816723
2013-01-01,0.25000575149428705,0.1599764283607262,0.09002932313356085,-0.042557125043474364,-0.05906109727167508
2013-04-01,0.2574543501722315,0.14674632727204417,0.11070802290018733,0.007448598677944451,-0.013230101088682028
2013-07-01,0.257557888910115,0.13692032609817503,0.12063756281193996,0.00010353873788349066,-0.009826001173869142
2013-10-01,0.25679514805540393,0.12971106357967108,0.12708408447573286,-0.0007627408547110637,-0.007209262518503956
2014-01-01,0.2649746077028664,0.1322085677349214,0.132766039967945,0.008179459647462473,0.002497504155250324
2014-04-01,0.2748002808178222,0.13880288501461605,0.13599739580320616,0.009825673114955802,0.006594317279694645
2014-07-01,0.28216865320443896,0.1379095407362697,0.14425911246816925,0.0073683723866167505,-0.0008933442783463363
2014-10-01,0.29532884917839314,0.13593895076596557,0.15938989841242757,0.01316019597395418,-0.0019705899703041374
2015-01-01,0.30926717146677424,0.12965323008724308,0.17961394137953116,0.0139383222883811,-0.0062857206787224895
2015-04-01,0.3086682858514601,0.123109234013779,0.18555905183768112,-0.0005988856153141264,-0.006543996073464078
