year,ln_income_rel,ln_consumer_price_rel,ln_house_price_rel,x_c,x_h,gap_housing_minus_consumption,delta_x_c,delta_x_h,delta_gap,slope_x_c_5y,slope_x_h_5y,slope_gap_5y,slope_x_c_10y,slope_x_h_10y,slope_gap_10y,regime_signature_5y
1975,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1976,0.07519651838953519,0.05339783554631945,0.0697038969054168,0.021798682843215733,0.005492621484118387,0.016306061359097346,0.021798682843215733,0.005492621484118387,0.016306061359097346,,,,,,,
1977,0.15928955378496934,0.11642528467785646,0.1828460210181051,0.042864269107112885,-0.02355646723313576,0.06642073634024864,0.02106558626389715,-0.029049088717254146,0.0501146749811513,,,,,,,
1978,0.2604313311848123,0.18367798316777614,0.3133084621784505,0.07675334801703618,-0.052877130993638166,0.12963047901067434,0.03388907890992329,-0.029320663760502408,0.0632097426704257,,,,,,,
1979,0.3537359524106745,0.26879437458126376,0.44176559320983866,0.08494157782941075,-0.08802964079916414,0.1729712186285749,0.008188229812374576,-0.03515250980552598,0.04334073961790055,0.022483782083264195,-0.023442903407608483,0.04592668549087268,,,,C_UP_H_DOWN
1980,0.45223420275461745,0.3710691728128354,0.5178482847297426,0.08116502994178204,-0.0656140819751252,0.14677911191690723,-0.0037765478876287117,0.02241555882403895,-0.026192106711667662,0.016081000291943048,-0.020668658048451555,0.036749658340394606,,,,C_UP_H_DOWN
1981,0.5509536623596122,0.4568697762884598,0.5609405271934957,0.09408388607115237,-0.009986864833883558,0.10407075090503592,0.012918856129370326,0.055627217141241636,-0.04270836101187131,0.010685091585282483,0.0014402253817017373,0.009244866203580745,,,,C_UP_H_UP
1982,0.6170449590767755,0.5109280012504792,0.5713372233806567,0.10611695782629627,0.045707735696118745,0.06040922213017752,0.012033071755143898,0.0556946005300023,-0.043661528774858405,0.006786952786026179,0.027521250934479442,-0.020734298148453262,,,,C_UP_H_UP
1983,0.6847143047017608,0.5525812106481084,0.6413438561083019,0.13213309405365237,0.043370448593458844,0.08876264546019352,0.0260161362273561,-0.002337287102659902,0.028353423330016003,0.011933496033299745,0.03741219964564899,-0.025478703612349246,,,,C_UP_H_UP
1984,0.7778096801138228,0.5896619221371064,0.6851234152027429,0.18814775797671635,0.0926862649110799,0.09546149306563645,0.05601466392306398,0.04931581631762105,0.006698847605442926,0.02520146640523686,0.036995800719975255,-0.011794334314738397,0.017152419455358427,0.009677142702513197,0.007475276752845228,C_UP_H_UP
1985,0.8335468927602426,0.6239515175303685,0.7349187302416782,0.20959537522987415,0.09862816251856443,0.11096721271130972,0.021447617253157802,0.0059418976074845364,0.015505719645673266,0.031305377846786366,0.026420858391985713,0.004884519454800651,0.018548475029516714,0.015696946902315757,0.00285152812720096,C_UP_H_UP
1986,0.8833671306934152,0.6454723658621148,0.8010205809155603,0.23789476483130045,0.08234654977785494,0.15554821505344552,0.028299389601426306,-0.016281612740709495,0.0445810023421358,0.03410178951862301,0.012853534208857797,0.021248255309765218,0.020400829192938404,0.019999345021038235,0.00040148417190016795,C_UP_H_UP
1987,0.9229686412635617,0.67590614300727,0.8637294140014343,0.24706249825629167,0.05923922726212738,0.1878232709941643,0.00916773342499122,-0.023107322515727557,0.03227505594071878,0.027960581525986274,0.0021397842204112115,0.02582079730557506,0.02153826751243052,0.020173175048131528,0.0013650924642989927,C_UP_H_UP
1988,1.0015459491371963,0.7142465445841913,0.9159391187430974,0.28729940455300496,0.08560683039409889,0.20169257415890607,0.04023690629671328,0.026367603131971507,0.013869303164741775,0.023577041617899475,-0.005354780429039907,0.028931822046939382,0.024654588052414866,0.01882694288026537,0.005827645172149499,C_UP_H_DOWN
1989,1.063484663567234,0.7569903045293503,0.9674237714234653,0.3064943590378836,0.09606089214376867,0.2104334668941149,0.019194954484878624,0.010454061749669785,0.008740892735208838,0.024320260733772338,-0.00018742601333475716,0.024507686747107092,0.026811714684690673,0.014028838137312956,0.012782876547377716,C_UP_H_DOWN
1990,1.1156732616361449,0.799953504591032,0.998218969438359,0.3157197570451129,0.11745429219778591,0.198265464847327,0.009225398007229324,0.021393400054017242,-0.012168002046787918,0.02150818452092168,0.010703714972150325,0.010804469548771355,0.026534786728385884,0.009660616313540654,0.016874170414845232,C_UP_H_UP
1991,1.1437351071141577,0.8328443728703313,1.0171264530432234,0.3108907342438264,0.12660865407093436,0.18428208017289205,-0.004829022801286498,0.009154361873148442,-0.01398338467443494,0.01560768244671774,0.016658631542130098,-0.0010509490954123569,0.024012627002413425,0.007281193865926967,0.016731433136486454,C_UP_H_UP
1992,1.1957315663707497,0.8591450199814809,1.044567777173712,0.3365865463892689,0.15116378919703766,0.18542275719223122,0.025695812145442476,0.0245551351261033,0.0011406770193391758,0.010297065887847068,0.016166167953304323,-0.005869102065457254,0.02106630001747258,0.008298412534406125,0.012767887483066453,C_UP_H_UP
1993,1.2234191928239437,0.8837529249469953,1.067614497661871,0.3396662678769484,0.15580469516207263,0.1838615727148758,0.003079721487679543,0.004640905965034969,-0.0015611844773554262,0.008721060702228566,0.015319710303585966,-0.006598649601357398,0.017228796152314086,0.008134697194122967,0.009094098958191117,C_UP_H_UP
1994,1.2588436217319705,0.9044035302201777,1.092585086593139,0.3544400915117928,0.1662585351388315,0.1881815563729613,0.014773823634844363,0.01045383997675886,0.004319983658085502,0.010621620256648178,0.01268045269732294,-0.0020588324406747628,0.015415894518796262,0.010466073042612135,0.004949821476184127,C_UP_H_UP
1995,1.3002949836383448,0.9252416176864389,1.122603746318904,0.37505336595190597,0.1776912373194408,0.19736212863246516,0.020613274440113183,0.011432702180609322,0.00918057225950386,0.014617880853868304,0.011725991243880674,0.00289188960998763,0.014141529810585116,0.012925392241721368,0.0012161375688637486,C_UP_H_UP
1996,1.3404202540346035,0.9463987980435921,1.156491108024588,0.39402145599101146,0.18392914601001542,0.21009230998099604,0.01896809003910549,0.006237908690574612,0.012730181348530878,0.01502569172784427,0.00874172557833237,0.0062839661495119,0.013782862766153212,0.013681179855773717,0.00010168291037949661,C_UP_H_UP
1997,1.3807655368383929,0.9636544989440715,1.1894169860596575,0.41711103789432136,0.19134855077873536,0.225762487115586,0.023089581903309897,0.007419404768719939,0.015670177134589958,0.019447090451396455,0.00887583221045094,0.010571258240945514,0.013402364948904767,0.012069869910923977,0.0013324950379807908,C_UP_H_UP
1998,1.4343244700487239,0.9715803119239625,1.2393648850476584,0.46274415812476133,0.19495958500106547,0.26778457312369586,0.04563312023043997,0.0036110342223301117,0.04202208600810986,0.02586658051683525,0.007105941318376252,0.018760639198458995,0.016132212416879028,0.010812040544373885,0.005320171872505145,C_UP_H_UP
1999,1.469219311399811,0.9860487610372863,1.2873086287888598,0.48317055036252476,0.18191068261095134,0.30125986775157343,0.020426392237763435,-0.013048902390114137,0.03347529462787757,0.028495707095498746,0.0019469329574071104,0.026548774138091636,0.019129287292914035,0.008213902380983835,0.0109153849119302,C_UP_H_UP
2000,1.5310343038514027,1.0110219855871079,1.3492982085453118,0.5200123182642948,0.18173609530609092,0.3382762229582039,0.03684176790177007,-0.0001745873048604185,0.03701635520663049,0.03180412370147702,-0.0013823969575633033,0.03318652065904032,0.022609410087410683,0.00599186442314579,0.016617545664264894,C_UP_H_DOWN
2001,1.5698784165402213,1.0308685037830012,1.4214378343383052,0.5390099127572201,0.14844058220191614,0.39056933055530396,0.018997594492925263,-0.03329551310417478,0.05229310759710004,0.0301065909865331,-0.0099039426848613,0.0400105336713944,0.024327556986051647,0.0017848249892498638,0.022542731996801783,C_UP_H_DOWN
2002,1.6037201919171873,1.0439167847989737,1.4827911584703302,0.5598034071182136,0.12092903344685713,0.4388743736713565,0.020793494360993536,-0.027511548755059012,0.04830504311605255,0.024995786038159995,-0.01815312035174519,0.043148906389905185,0.02612786767755335,-0.0025504648002239914,0.02867833247777734,C_UP_H_DOWN
2003,1.6403783088225719,1.0647107369924282,1.5432733032773185,0.5756675718301436,0.09710500554525336,0.47856256628489025,0.015864164711929973,-0.02382402790160376,0.039688192613533735,0.022478513178915648,-0.023041841599062973,0.045520354777978625,0.026293152292169927,-0.007509371401811108,0.03380252369398103,C_UP_H_DOWN
2004,1.6874100611135328,1.089229865524579,1.6328784740665552,0.5981801955889539,0.05453158704697758,0.5436486085419763,0.022512623758810246,-0.042573418498275784,0.06508604225708603,0.019299341372224155,-0.030574459317488943,0.0498738006897131,0.02581069791227857,-0.013382030412528504,0.03919272832480707,C_UP_H_DOWN
2005,1.7181975768132773,1.117631682594659,1.740408083277427,0.6005658942186183,-0.02221050646414957,0.6227764006827679,0.0023856986296644234,-0.07674209351112715,0.07912779214079158,0.016148875139353657,-0.040769962373201095,0.056918837512554755,0.02387816534059268,-0.021324175613729134,0.04520234095432182,C_UP_H_DOWN
2006,1.7721663134942254,1.1454030318850283,1.8095993605862084,0.626763281609197,-0.03743304709198303,0.6641963287011801,0.026197387390578752,-0.015222540627833459,0.04141992801841221,0.015881807137044145,-0.04360396730870832,0.05948577444575247,0.02190563531685797,-0.027257729193638856,0.04916336451049682,C_UP_H_DOWN
2007,1.8111061574769463,1.1707395660085258,1.8206411068511075,0.6403665914684205,-0.009534949374161217,0.6499015408425817,0.013603309859223423,0.027898097717821813,-0.01429478785859839,0.015798112529679685,-0.030524454397778976,0.04632256692745866,0.019393296435141736,-0.028491763269789104,0.047885059704930844,C_UP_H_DOWN
2008,1.846566134275004,1.1999036654142574,1.7678204321985196,0.6466624688607465,0.07874570207648435,0.5679167667842622,0.006295877392326066,0.08828065145064556,-0.0819847740583195,0.01367652437933875,0.006110378714900187,0.007566145664438561,0.017560449140804752,-0.02223480195316824,0.039795251093972986,C_UP_H_UP
2009,1.8372976300031045,1.1971129554819444,1.7107096323242486,0.6401846745211601,0.12658799767885598,0.5135966768423041,-0.006477794339586396,0.04784229560237163,-0.05432008994195803,0.009913674785663318,0.04137757574544785,-0.03146390095978453,0.014506714234874735,-0.01282953457606706,0.027336248810941793,C_UP_H_UP
2010,1.8653627322879576,1.2148608197565793,1.66901791506259,0.6505019125313782,0.19634481722536767,0.45415709530601056,0.01031723801021811,0.0697568195465117,-0.059439581536293584,0.004729534489710208,0.06036786756877186,-0.05563833307906165,0.012568654121030557,0.0010395890763633985,0.011529065044667157,C_UP_H_UP
2011,1.9038066747930753,1.2398488573633808,1.6295426711212648,0.6639578174296945,0.2742640036718105,0.38969381375788403,0.013455904898316273,0.0779191864464428,-0.06446328154812653,0.005102189559317983,0.06851970212408268,-0.06341751256476469,0.011049366703991575,0.016762073880512096,-0.005712707176520522,C_UP_H_UP
2012,1.9415948064647177,1.2583213670560824,1.626830641857294,0.6832734394086353,0.31476416460742374,0.36850927480121154,0.019315621978940767,0.04050016093561326,-0.021184538956672494,0.009699508400431189,0.06197129310548333,-0.052271784705052136,0.010455371568385604,0.03133442274026735,-0.020879051171881744,C_UP_H_UP
2013,1.9327159369022973,1.271420924102259,1.6634720004115024,0.6612950128000383,0.2692439364907948,0.3920510763092435,-0.021978426608596946,-0.045520228116628925,0.02354180150803198,0.007499220343501345,0.04037312250059337,-0.03287390215709203,0.008223557692010022,0.03948606479827451,-0.03126250710626449,C_UP_H_UP
2014,1.9726792464787275,1.2853194327034503,1.7118689072058875,0.6873598137752772,0.26081033927284003,0.4265494745024372,0.02606480097523889,-0.00843359721795478,0.03449839819319367,0.007105299785814178,0.012391097691392905,-0.005285797905578727,0.007876393440993671,0.0422529320663804,-0.034376538625386734,C_UP_H_UP
2015,2.005155916039197,1.2871505205517622,1.761857368616314,0.718005395487435,0.24329854742288326,0.47470684806455177,0.03064558171215781,-0.01751179184995677,0.04815737356211458,0.011218153048212299,-0.011588473783243814,0.022806626831456112,0.008278887880662666,0.0364481226088879,-0.028169234728225235,C_UP_H_DOWN
2016,2.026282094023046,1.2972281430554566,1.8126865458835495,0.7290539509675893,0.21359554813949644,0.5154584028280929,0.011048555480154265,-0.02970299928338682,0.04075155476354109,0.014827140580530473,-0.022828262200376613,0.03765540278090709,0.009607014187483913,0.02479002194999713,-0.015183007762513216,C_UP_H_DOWN
2017,2.067375088950062,1.3145319948929999,1.865167402943571,0.7528430940570623,0.2022076860064912,0.5506354080505711,0.023789143089472997,-0.011387862133005244,0.03517700522247824,0.022479029970636,-0.018128729210195083,0.04060775918083108,0.011899730540001704,0.011327867504658076,0.0005718630353436288,C_UP_H_DOWN
2018,2.1173635516950755,1.3347953003744135,1.9188900362246937,0.782568251320662,0.19847351547038183,0.5840947358502802,0.0297251572635997,-0.0037341705361093602,0.03345932779970906,0.02252545736603968,-0.016576450902130845,0.039101908268170525,0.014870192719857074,0.0009808303948997028,0.013889362324957372,C_UP_H_DOWN
2019,2.157110097380054,1.3490179590997398,1.964212675030228,0.8080921382803143,0.1928974223498261,0.6151947159304882,0.025523886959652353,-0.005576093120555736,0.03109998008020809,0.023368778593883133,-0.011592428281522894,0.03496120687540603,0.01715367114202511,-0.007932117098172056,0.025085788240197165,C_UP_H_DOWN
2020,2.2258054196579935,1.3601409137870966,2.0146549962182565,0.8656645058708969,0.211150423439737,0.6545140824311599,0.057572367590582596,0.018253001089910903,0.03931936650067169,0.032847015402986735,-0.0014200513056183972,0.03426706670860513,0.021230034406067896,-0.0120027423156142,0.0332327767216821,C_UP_H_DOWN
2021,2.3022314549389056,1.4004573657246917,2.143347849870614,0.9017740892142139,0.15888360506829136,0.7428904841459225,0.03610958334331693,-0.052266818371445645,0.08837640171476258,0.03809582448645381,-0.007397125390704451,0.04549294987715826,0.02556504019915489,-0.013909134362516213,0.039474174561671106,C_UP_H_DOWN
2022,2.3024348121010942,1.4638180042316944,2.2954304254980027,0.8386168078693998,0.00700438660309155,0.8316124212663083,-0.06315728134481402,-0.1518792184651998,0.08872193712038579,0.020577906403137523,-0.04169520750161153,0.06227311390474906,0.02486019002918724,-0.020001286401466797,0.04486147643065404,C_UP_H_DOWN
2023,2.3870892043706604,1.5011007694747556,2.3457553073164013,0.8859884348959048,0.04133389705425916,0.8446545378416457,0.04737162702650499,0.03432951045116761,0.013042116575337381,0.01287448952296839,-0.050727308742777935,0.06360179826574633,0.023391068426628372,-0.02352518001140978,0.04691624843803815,C_UP_H_DOWN
2024,2.432999061888455,1.5269461919941238,2.3990466278102747,0.9060528698943311,0.03395243407818027,0.8721004358161508,0.02006443499842625,-0.00738146297607889,0.02744589797450514,0.006499107372855928,-0.04719456867371456,0.05369367604657049,0.022030467318140602,-0.025251392756559674,0.04728186007470028,C_UP_H_DOWN
2025,2.4699488482717924,1.5529108966099796,2.436688104088265,0.9170379516618128,0.033260744183527535,0.8837772074782853,0.010985081767481697,-0.0006916898946527361,0.011676771662134433,0.009796378692012908,-0.022429767429443893,0.0322261461214568,0.020661266346034428,-0.025432994041176726,0.04609426038721115,C_UP_H_DOWN
