date,income_rel,consumer_price_rel,house_price_rel,cpp_index_1991q1_100,ha_index_1991q1_100,x_c,x_h,divergence_xc_minus_xh,delta_x_c,delta_x_h,qa_real_dpi_relative_error,qa_real_pce_relative_error
1991-01-01,1.0,1.0,1.0,100.0,100.0,0.0,0.0,0.0,,,0.0,0.0
1991-04-01,1.0097658480868075,1.0054573379954903,1.0,100.42851247173816,100.97658480868074,0.004275969714694089,0.009718470398191768,-0.005442500683497679,0.004275969714694089,0.009718470398191768,4.8812620439542265e-05,3.680154580165684e-05
1991-07-01,1.0169046259280412,1.0122871801575113,1.0018,100.45613990387703,101.50774864524269,0.0045510273857140866,0.014964950912339622,-0.010413923526625535,0.0002750576710199978,0.005246480514147854,5.213184541019711e-05,8.240072874199367e-05
1991-10-01,1.0287835522558537,1.019639881049639,1.0105,100.89675495987878,101.80935697732347,0.008927579901658886,0.017931829202251854,-0.009004249300592968,0.0043765525159448,0.0029668782899122323,4.982700494260417e-05,7.349387175703548e-05
1992-01-01,1.0520845231296403,1.0260285611581321,1.0227,102.53949675066525,102.87322999214241,0.0250778725210648,0.02832726743845353,-0.00324939491738873,0.016150292619405912,0.010395438236201676,8.35059011783379e-05,0.00013632867195578768
1992-04-01,1.0654483152484295,1.0328420639848372,1.0211,103.15694455140539,104.34319021138279,0.031081376046335388,0.0425151862909663,-0.011433810244630915,0.006003503525270588,0.014187918852512773,9.480159381081155e-05,0.0001069881569972786
1992-07-01,1.0729297544260423,1.0394268161171205,1.0295999999999998,103.22321281204532,104.20840660703598,0.03172357211560902,0.04122261768762181,-0.009499045572012789,0.0006421960692736331,-0.0012925686033444933,6.226093566186197e-05,9.546680386129935e-05
1992-10-01,1.0814391776127927,1.046681480997353,1.0377,103.32075203836797,104.21501181582275,0.03266806094290726,0.04128600028482669,-0.008617939341919435,0.0009444888272982371,6.338259720488348e-05,9.920650214534366e-05,7.284105361726745e-05
1993-01-01,1.0888063963449457,1.0529231070880036,1.0381,103.40796863658753,104.88453870965664,0.0335118392346644,0.04768992779470375,-0.014178088560039347,0.0008437782917571426,0.006403927509877054,0.00010072235610081304,8.891478757599991e-05
1993-04-01,1.0962307252998287,1.059998039279762,1.0485,103.41818424916009,104.5522866285006,0.033610623768809106,0.04451711079516309,-0.010906487026353981,9.878453414470523e-05,-0.0031728169995406605,6.953316374769258e-05,0.00010765778380961155
1993-07-01,1.0981724728726443,1.064589392503513,1.0564,103.15455710958726,103.954228783855,0.031058231996691856,0.03878050842984962,-0.007722276433157763,-0.0025523917721172497,-0.005736602365313467,5.018672315137973e-05,8.511902974461805e-05
1993-10-01,1.10862364363221,1.0707329825822687,1.0665,103.53875911794191,103.94970873250915,0.034775840846936155,0.03873702631594099,-0.003961185469004834,0.0037176088502442993,-4.3482113908629993e-05,8.64478095130572e-05,6.485056349980756e-05
1994-01-01,1.1168475157053113,1.0745727263814908,1.0759999999999998,103.9341022050854,103.79623751908098,0.03858687967986872,0.03725953667904606,0.001327343000822663,0.003811038832932566,-0.0014774896368949311,4.887376416817801e-05,0.00012127820362195507
1994-04-01,1.1309537407195889,1.0805692624424037,1.0846,104.6627717471161,104.27380976577439,0.04557329795247495,0.041850039652159866,0.0037232583003150854,0.0069864182726062304,0.004590502973113808,6.615251285935209e-05,0.00010081511525417142
1994-07-01,1.1420902341519132,1.0883141073821117,1.0912,104.94123216863902,104.66369447873105,0.04823031385047463,0.04558211414883658,0.00264819970163805,0.0026570158979996802,0.0037320744966767155,4.374609666524254e-05,5.671288427144816e-05
1994-10-01,1.1603083952027413,1.0934283193359695,1.0966,106.11654871966255,105.80962932726075,0.0593678203219612,0.05647134372990197,0.00289647659205923,0.01113750647148657,0.01088922958106539,6.769683500917889e-05,8.41711736070394e-05
